sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway,is_advanced_investment,yahoo_timestamp,yahoo_symbol
3395770,QI87,7IM Adventurous Fund (Class C),25.0,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM Adventurous Fund (Class C) (Inc),0.0,1.27,0.0,1.27,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,145,0,0,N,0.0,1.27,1.27,N/a,Daily,,100.0,0.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=53f3f8bc-6242-40f5-bbe3-377fc917c9c2&user=hl_website_documents,0.0,0.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,186.9,,0.37,5,2026-09-10 06:02:16,0000-00-00,3.75,10.46,19.05,38.93,29.73,,19.05,8.31,7.74,0.19,-6.8,,,,,,,,,,,,1.27,0,1,1,1,1,2003-12-12 00:00:00,,381.84,381.84,-2.45,-0.64,2026-09-10,N,N,1789203445,0P0000196H.L
3395800,QI86,7IM Adventurous Fund (Class C),25.0,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM Adventurous Fund (Class C) (Acc),0.0,1.27,0.0,1.27,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,145,0,0,N,0.0,1.27,1.27,N/a,Daily,,100.0,0.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=c4d5df77-646e-4e04-98e4-bd0cf2a35cb0&user=hl_website_documents,0.0,0.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,186.9,,0.37,5,2026-09-10 06:02:16,0000-00-00,3.72,10.46,19.05,38.93,29.73,,19.05,8.31,7.75,0.19,-6.8,,,,,,,,,,,,1.27,0,1,1,1,1,2003-12-12 00:00:00,,424.39,424.39,-2.72,-0.64,2026-09-10,N,N,1789203446,0P0000196I.L
3395929,QI98,7IM Balanced Fund (Class C),25.0,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM Balanced Fund (Class C) (Inc),0.0,1.25,0.0,1.25,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,160,0,0,N,0.0,1.25,1.25,N/a,Daily,,100.0,1.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=80e827a0-c9ec-41c7-96f1-14b063330af9&user=hl_website_documents,0.0,1.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,587.6,,0.35,5,2026-09-10 06:02:16,0000-00-00,2.23,6.65,12.27,29.62,19.4,,12.27,5.96,8.96,0.56,-8.39,,,,,,,,,,,,1.25,0,1,1,1,1,2003-12-12 00:00:00,,232.88,232.88,-0.98,-0.42,2026-09-10,N,N,1789203449,0P0000199T.L
3395974,QI97,7IM Balanced Fund (Class C),25.0,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM Balanced Fund (Class C) (Acc),0.0,1.25,0.0,1.25,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,160,0,0,N,0.0,1.25,1.25,N/a,Daily,,100.0,1.2,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=331e644e-86bb-4c01-af39-6ac2384e8f43&user=hl_website_documents,0.0,1.2,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,587.6,,0.35,5,2026-09-10 06:02:16,0000-00-00,2.25,6.66,12.27,29.63,19.4,,12.27,5.96,8.96,0.56,-8.4,,,,,,,,,,,,1.25,0,1,1,1,1,2003-12-12 00:00:00,,317.37,317.37,-1.34,-0.42,2026-09-10,N,N,1789203452,0P0000199S.L
3395639,QI92,7IM Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management Moderately Adventurous Fund (Class C),This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,Moderately Adventurous Fund (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM Moderately Adventurous (Class C) (Inc),0.0,1.28,0.0,1.28,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,154,0,0,N,0.0,1.28,1.28,N/a,Daily,,100.0,0.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=dbd0c2ef-9f9b-42a6-8584-36b2bde77a83&user=hl_website_documents,0.0,0.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,488.2,,0.38,5,2026-09-10 06:02:16,0000-00-00,3.24,9.16,16.47,35.55,27.04,,16.47,7.33,8.43,1.44,-7.61,,,,,,,,,,,,1.28,0,1,1,1,1,2003-12-12 00:00:00,,342.1,342.1,-1.76,-0.51,2026-09-10,N,N,1789203454,0P000019J5.L
3395651,QI91,7IM Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management Moderately Adventurous Fund (Class C),This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,Moderately Adventurous Fund (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM Moderately Adventurous (Class C) (Acc),0.0,1.28,0.0,1.28,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,154,0,0,N,0.0,1.28,1.28,N/a,Daily,,100.0,0.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=70fd62d9-7e4e-49cb-8343-c2dca32f1da1&user=hl_website_documents,0.0,0.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,488.2,,0.38,5,2026-09-10 06:02:16,0000-00-00,3.25,9.16,16.47,35.55,27.04,,16.47,7.33,8.43,1.45,-7.61,,,,,,,,,,,,1.28,0,1,1,1,1,2003-12-12 00:00:00,,405.65,405.65,-2.09,-0.51,2026-09-10,N,N,1789203456,0P0000199W.L
3395327,RK23,7IM Moderately Cautious (Class C),25.0,1,0,Seven Investment Management Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM Moderately Cautious (Class C) (Inc),0.0,1.3,0.0,1.3,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,159,0,0,N,0.0,1.3,1.3,N/a,Daily,,100.0,2.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=7a12aabb-95d8-4659-b8fa-cf26b8b366ba&user=hl_website_documents,0.0,2.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,127.7,,0.4,5,2026-09-10 06:02:20,0000-00-00,1.46,4.58,8.79,23.19,9.49,,8.79,4.37,8.5,-0.8,-10.41,,,,,,,,,,,,1.3,0,1,1,1,1,2003-12-12 00:00:00,,154.73,154.73,-0.53,-0.34,2026-09-10,N,N,1789203458,0P000019J0.L
3395349,RK22,7IM Moderately Cautious (Class C),25.0,1,0,Seven Investment Management Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM Moderately Cautious (Class C) (Acc),0.0,1.3,0.0,1.3,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,159,0,0,N,0.0,1.3,1.3,N/a,Daily,,100.0,2.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=86a383e8-c3f0-4906-a883-86f05742d780&user=hl_website_documents,0.0,2.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,127.7,,0.4,5,2026-09-10 06:02:20,0000-00-00,1.45,4.58,8.79,23.2,9.5,,8.79,4.36,8.51,-0.8,-10.41,,,,,,,,,,,,1.3,0,1,1,1,1,2003-12-12 00:00:00,,237.72000000000003,237.72000000000003,-0.82,-0.34,2026-09-10,N,N,1789203460,0P000019J1.L
BMDPBQ8,R2FS,7IM Pathbuilder 1 (Class C),25.0,1,0,Seven Investment Management Pathbuilder 1 (Class C),"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",Pathbuilder 1 (Class C),1174,Seven Investment Management,157,Volatility Managed,Accumulation,7IM Pathbuilder 1 (Class C) (Acc),0.0,0.34,0.0,0.34,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,0.0,0.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,,0.0,0.34,0.34,N/a,Daily,,100.0,2.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=be475bf8-d73a-4ca5-b0cc-504d8a538fd9&user=hl_website_documents,0.0,2.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,56.9,,0.12,2,2026-09-10 06:02:19,0000-00-00,1.46,5.03,10.04,28.4,16.12,,10.04,6.21,9.86,1.46,-10.86,,,,,,,,,,,,0.34,0,1,1,1,1,2020-12-09 00:00:00,N,120.81,120.81,-0.41,-0.34,2026-09-10,N,N,1789203462,0P0001JTOA.L
BMDPC09,R2FT,7IM Pathbuilder 1 (Class C),25.0,1,0,Seven Investment Management Pathbuilder 1 (Class C),"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",Pathbuilder 1 (Class C),1174,Seven Investment Management,157,Volatility Managed,Income,7IM Pathbuilder 1 (Class C) (Inc),0.0,0.34,0.0,0.34,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,0.0,0.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,,0.0,0.34,0.34,N/a,Daily,,100.0,2.1,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=7bc31dff-d2b5-4f44-b2f8-0291c90f8b4c&user=hl_website_documents,0.0,2.1,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,56.9,,0.12,2,2026-09-10 06:02:19,0000-00-00,1.51,5.02,10.04,28.38,16.12,,10.04,6.21,9.85,1.46,-10.86,,,,,,,,,,,,0.34,0,1,1,1,1,2020-12-09 00:00:00,N,108.43,108.43,-0.38,-0.35,2026-09-10,N,N,1789203465,0P0001JTO9.L
