sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway,is_advanced_investment,yahoo_timestamp,yahoo_symbol
BBH7ZN8,FB3E,Capital Group World Dividend Growers Z,25.0,1,0,Capital Group World Dividend Growers Z,The fund seeks to provide long-term total return by investing in companies worldwide that provide a combination of current yield and dividend growth.,World Dividend Growers Z,1503,Capital Group,139,Global Equity Income,Accumulation,Capital Group World Dividend Growers Z (Acc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,Quarterly,Dividend,0,50,0.0,0.0,21:00,,0,0.0,0.0,10.0,EUR,192,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=42587f94-aaed-441f-8bbe-337add777fda&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,415.6,,0.15,4,2026-09-10 06:01:52,0000-00-00,2.56,6.02,14.42,43.34,50.35,,14.42,12.16,11.7,-1.68,6.67,,,,,,,,,,,,0.9,0,0,1,1,1,2013-08-06 00:00:00,,2522.86,2522.86,-15.87,-0.62,2026-09-09,N,N,1789205180,0P00012SG5
BBH7ZS3,FB3I,Capital Group World Dividend Growers Z,25.0,1,0,Capital Group World Dividend Growers Z,The fund seeks to provide long-term total return by investing in companies worldwide that provide a combination of current yield and dividend growth.,World Dividend Growers Z,1503,Capital Group,139,Global Equity Income,Income,Capital Group World Dividend Growers Z (Inc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,Quarterly,Dividend,0,50,0.0,0.0,21:00,,0,0.0,0.0,10.0,EUR,192,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=d1717dd1-2138-4b21-bca7-5dda7ef7b5e5&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,415.6,,0.15,4,2026-09-10 06:01:52,0000-00-00,2.56,6.02,14.4,43.34,50.34,,14.4,12.19,11.68,-1.71,6.71,,,,,,,,,,,,0.9,0,0,1,1,1,2013-08-06 00:00:00,,1898.34,1898.34,-11.95,-0.63,2026-09-09,N,N,1789205182,0P00012SG8
BK6N9L6,QAWN,Capital Group World Growth & Income Z,25.0,1,0,Capital Group World Growth & Income Class Z,"To provide ong-term growth of capital, while providing current income, through investments in global equities. The fund invests primarily in common stocks of companies located around the world, many of which have the potential to pay dividends.",World Growth & Income Class Z,1503,Capital Group,109,Global,Accumulation,Capital Group World Growth & Income Z (Acc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,N/a,Dividend,0,50,0.0,0.0,21:00,,0,0.0,0.0,10.0,GBP,328,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=227c8582-a0d8-4097-ad96-a2a5602e19f0&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,576.4,,0.15,3,2026-09-10 06:02:16,0000-00-00,2.6,13.38,24.26,63.64,69.1,,24.26,17.03,12.52,4.67,-1.27,,,,,,,,,,,,0.9,0,0,1,1,1,2019-09-27 00:00:00,N,1724.7699999999998,1724.7699999999998,-6.63,-0.38,2026-09-09,N,N,,
BK6N9P0,QAWQ,Capital Group World Growth & Income ZD,25.0,1,0,Capital Group World Growth & Income Class ZD,"To provide ong-term growth of capital, while providing current income, through investments in global equities. The fund invests primarily in common stocks of companies located around the world, many of which have the potential to pay dividends.",World Growth & Income Class ZD,1503,Capital Group,109,Global,Income,Capital Group World Growth & Income ZD (Inc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,Annually,Dividend,0,50,0.0,0.0,21:00,,0,0.0,0.0,10.0,GBP,328,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,2.13,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=04dfc0ae-53cb-4ce3-8e60-4837a70e7a61&user=hl_website_documents,0.0,2.13,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,576.4,,0.15,3,2026-09-10 06:02:16,0000-00-00,2.6,13.38,24.3,63.57,69.06,,24.3,17.03,12.45,4.71,-1.3,,,,,,,,,,,,0.9,0,0,1,1,1,2019-09-27 00:00:00,N,1606.8300000000002,1606.8300000000002,-6.18,-0.38,2026-09-09,N,N,,
BDZRLH0,F84H,Capital Income Builder (Z),25.0,1,0,Capital Group Capital Income Builder (Z),"The fund's primary objectives are to achieve a level of current income that exceeds the average yield on U.S. stocks and provide growth of income, expressed in USD, by investing in income-producing securities, including common stocks and bonds. Growth of capital is a secondary objective.",Capital Income Builder (Z),1503,Capital Group,115,Flexible Investment,Accumulation,Capital Income Builder (Z) (Acc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,Quarterly,Dividend,0,50,0.0,0.0,22:00,,0,0.0,0.0,10.0,USD,1277,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=779bc8cf-fc58-4930-bde7-cc0599a468cb&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,1304.1,,0.2,3,2026-09-10 06:01:52,0000-00-00,1.86,5.16,13.66,40.29,50.69,,13.66,10.28,11.92,-4.4,12.36,,,,,,,,,,,,0.9,0,0,1,1,1,2018-09-21 00:00:00,,1341.15,1341.15,-7.44,-0.55,2026-09-09,N,N,,
BDZRLK3,F84L,Capital Income Builder (Z),25.0,1,0,Capital Group Capital Income Builder (Z),"The fund's primary objectives are to achieve a level of current income that exceeds the average yield on U.S. stocks and provide growth of income, expressed in USD, by investing in income-producing securities, including common stocks and bonds. Growth of capital is a secondary objective.",Capital Income Builder (Z),1503,Capital Group,115,Flexible Investment,Income,Capital Income Builder (Z) (Inc),5.25,0.9,0.0,0.9,5.25,0.0,0.0,0,,0,Quarterly,Dividend,0,50,0.0,0.0,22:00,,0,0.0,0.0,10.0,USD,1277,0,1,,0.0,0.9,0.9,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=30046a9c-cf6d-487b-84c9-f811f0bfab23&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,1304.1,,0.2,3,2026-09-10 06:01:52,0000-00-00,1.86,5.17,13.62,40.3,50.72,,13.62,10.37,11.88,-4.37,12.34,,,,,,,,,,,,0.9,0,0,1,1,1,2018-09-21 00:00:00,,1113.41,1113.41,-6.18,-0.55,2026-09-09,N,N,,
BGP6SY4,JWKL,Carmignac Portfolio Asia Discovery (FW),25.0,1,0,Carmignac Group Carmignac Portfolio Asia Discovery (FW),The sub-fund aims to outperform its reference indicator through exposure to the small and mid-cap equity markets of emerging countries.,Carmignac Portfolio Asia Discovery (FW),6990,Carmignac Group,112,Global Emerging Markets,Accumulation,Carmignac Portfolio Asia Discovery (FW) (Acc),0.0,1.5,0.0,1.5,0.0,0.0,0.0,0,,0,N/a,Dividend,0,87,0.0,0.0,21:00,,0,0.0,0.0,100.0,EUR,48,0,1,,0.0,1.5,1.5,N/a,N/a,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ff4f4762-37ea-46f5-8232-6558f95b0096&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,232.8,,1.5,5,2026-09-10 06:02:00,0000-00-00,3.59,42.32,69.91,118.7,89.09,,69.91,7.74,19.47,-0.05,-13.5,,,,,,,,,,,,1.5,0,0,1,1,1,2007-12-14 00:00:00,,38524.0,38524.0,161.0,0.42,2026-09-09,N,N,1789205189,0P0000ZXHP.L
BGP6SV1,JWLE,Carmignac Portfolio Emergents (FW),25.0,1,0,Carmignac Group Carmignac Portfolio Emergents (FW),The Fund aims to outperform its reference indicator over a period exceeding five years.,Carmignac Portfolio Emergents (FW),6990,Carmignac Group,112,Global Emerging Markets,Accumulation,Carmignac Portfolio Emergents (FW) (Acc),0.0,1.35,0.0,1.35,0.0,0.0,0.0,0,,0,Annually,Dividend,0,87,0.0,0.0,21:00,,0,0.0,0.0,100.0,EUR,48,0,1,,0.0,1.35,1.35,N/a,N/a,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=cea009ee-6528-4b3a-a120-f63bd89ece32&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,780.2,,0.2,5,2026-09-10 06:02:00,0000-00-00,1.98,23.42,40.66,71.49,45.34,,40.66,20.92,0.83,1.92,-16.85,,,,,,,,,,,,1.35,0,0,1,1,1,2013-11-15 00:00:00,,32280.0,32280.0,-130.0,-0.4,2026-09-09,N,N,1789205191,0P0000ZXJC.L
BGP6T63,JWLA,Carmignac Portfolio Global Bond (FW),25.0,1,0,Carmignac Group Carmignac Portfolio Global Bond (FW),"The sub-fund aims to outperform its reference indicator over a period exceeding two years, using an active, discretionary investment strategy based on strategic and tactical positions as well as arbitrage on all international fixed income and currency markets.",Carmignac Portfolio Global Bond (FW),6990,Carmignac Group,152,GBP Strategic Bond,Accumulation,Carmignac Portfolio Global Bond (FW) (Acc),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,,0,Monthly,Dividend,0,87,0.0,0.0,21:00,,0,0.0,0.0,100.0,EUR,94,0,1,,0.0,1.0,1.0,Capital,N/a,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=698f7ef8-e5ef-4322-90cf-95416c7b7918&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,527.4,,0.2,5,2026-09-10 06:02:00,0000-00-00,1.13,3.03,5.4,14.16,11.44,,5.4,3.58,4.57,-3.45,1.1,,,,,,,,,,,,1.0,0,0,1,1,1,2007-12-14 00:00:00,,16234.0,16234.0,-17.0,-0.1,2026-09-09,N,N,1789205193,0P0000ZXID.L
BMW2PM4,LDWG,Carmignac Portfolio Grande Europe (FW),25.0,1,0,Carmignac Group Carmignac Portfolio Grande Europe (FW),The sub-fund aims to outperform its reference indicator over a period exceeding five years and generate long-term capital growth.,Carmignac Portfolio Grande Europe (FW),6990,Carmignac Group,102,Europe Including UK,Accumulation,Carmignac Portfolio Grande Europe (FW) (Acc),0.0,1.35,0.0,1.35,0.0,0.0,0.0,0,,0,Annually,Dividend,0,87,0.0,0.0,21:00,,0,0.0,0.0,100.0,EUR,44,0,1,,0.0,1.35,1.35,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e341f406-32d0-4a5e-abbb-52410785ea97&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,364.2,,0.5,5,2026-09-10 06:02:03,0000-00-00,4.61,9.61,4.45,18.01,9.15,,4.45,-0.23,13.24,10.48,-16.29,,,,,,,,,,,,1.35,0,0,1,1,1,1999-07-01 00:00:00,N,13365.0,13365.0,-193.0,-1.42,2026-09-09,N,N,1789205195,0P0001KFNO.L
BVN6QC5,BXQBR,Carmignac Portfolio Tech Solutions (Class F),25.0,1,0,Carmignac Group Carmignac Portfolio Tech Solutions (Class F),The Fund seeks to outperform its reference indicator over a recommended minimum investment horizon of 5 years.,Carmignac Portfolio Tech Solutions (Class F),6990,Carmignac Group,134,Technology & Tech Innovations,Accumulation,Carmignac Portfolio Tech Solutions (Class F) (Acc),0.0,1.18,0.0,1.18,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,20:00,,0,0.0,0.0,0.0,,51,0,1,,0.0,1.18,1.18,N/a,N/a,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=263a107a-f185-45f0-a750-088247c55b83&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,647.2,,0.18,5,2026-09-10 06:01:45,0000-00-00,4.41,39.3,,,,,,,,,,,,,,,,,,,,,1.18,0,0,1,1,1,0000-00-00 00:00:00,N,14737.0,14737.0,66.0,0.45,2026-09-09,N,N,,
B46K5H3,M0I6,Carmignac Portfolio Unconstrained Global Bond,0.0,0,0,Carmignac Group Carmignac Portfolio Unconstrained Global Bond (W h,"The sub-fund aims to outperform its reference indicator over a period exceeding two years, using an active, discretionary investment strategy based on strategic and tactical positions as well as arbitrage on all international fixed income and currency markets.",Carmignac Portfolio Unconstrained Global Bond (W h,6990,Carmignac Group,106,Global Bonds,Accumulation,Carmignac Portfolio Unconstrained Global Bond (Acc),0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,,0,Monthly,Dividend,0,87,0.0,0.0,21:00,,0,0.0,0.0,100.0,EUR,94,0,1,,0.0,1.0,1.0,Capital,N/a,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=d6e0664c-e0ae-48d7-a8ae-cf65a0d0c158&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,527.4,,0.2,5,2026-09-10 06:02:04,0000-00-00,2.04,4.66,8.11,19.38,18.71,,8.11,2.64,7.58,-0.99,0.43,,,,,,,,,,,,1.0,0,0,1,1,1,2007-12-14 00:00:00,,18796.0,18796.0,-30.0,-0.16,2026-09-09,N,N,1789205198,0P0000SC5O.L
BSB7H93,RCF1,Castellain Emerging Market Credit (Class D1),25.0,1,0,Castellain Capital Emerging Market Credit (Class D1),"The EMCF objective is to achieve long-term capital appreciation. The EMCF seeks to achieve the investment objective by investing / trading emerging market credit assets, predominantly hard-currency sovereign bonds.",Emerging Market Credit (Class D1),58908,Castellain Capital,156,Global Emerging Markets Bond,Accumulation,Castellain Emerging Market Credit (Class D1) (Acc),0.0,2.06,0.0,2.06,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,17:30,,0,0.0,0.0,0.0,,0,1,0,,0.0,2.06,2.06,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=127597f0-b7cd-431b-bf97-52cb5371f158&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,,0.56,5,2026-09-10 06:02:20,0000-00-00,1.41,3.25,7.28,39.52,,,7.28,13.53,14.56,16.94,,,,,,,,,,,,,2.06,0,0,1,1,1,2021-10-01 00:00:00,N,148.81,148.81,-0.12,-0.08,2026-09-09,N,N,,
BSCDC84,BLL8S,Castellain Green Fund (Class F1),25.0,1,0,Castellain Capital Green Fund (Class F1),The Castellain Green Fund objectives are to generate a high level of income and achieve capital growth over a medium to long-term investment horizon.,Green Fund (Class F1),58908,Castellain Capital,109,Global,Accumulation,Castellain Green Fund (Class F1) (Acc),0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,17:30,,0,0.0,0.0,0.0,,27,1,0,,0.0,2.0,2.0,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=72835308-4b00-4ab4-9aa5-9442f20ec9ae&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,,1.6,5,2026-09-10 06:01:42,0000-00-00,2.93,9.65,10.49,,,,10.49,,,,,,,,,,,,,,,,2.0,0,0,1,1,1,2024-12-02 00:00:00,N,120.48,120.48,-0.51,-0.42,2026-09-09,N,N,,
BD5DLV2,KQSI,Castellain Income Fund,25.0,1,0,Castellain Capital Income Fund,,Income Fund,58908,Castellain Capital,115,Flexible Investment,Accumulation,Castellain Income Fund (Acc),0.0,1.81,0.0,1.81,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,17:30,,0,0.0,0.0,0.0,,0,0,0,N,0.0,1.81,1.81,N/a,Daily,,0.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=51a7c195-e2bb-4ff8-ae77-18c124a24870&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.31,5,2026-09-10 06:02:02,0000-00-00,4.15,8.86,7.45,36.75,40.41,,7.45,10.28,15.4,0.25,2.42,,,,,,,,,,,,1.81,0,0,1,1,1,0000-00-00 00:00:00,N,259.33000000000004,259.33000000000004,-1.36,-0.52,2026-09-09,N,N,1789205201,0P0001DEYZ.L
BD5DLW3,KQSJ,Castellain Income Fund,25.0,1,0,Castellain Capital Income Fund,,Income Fund,58908,Castellain Capital,115,Flexible Investment,Income,Castellain Income Fund (Inc),0.0,1.81,0.0,1.81,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,17:30,,0,0.0,0.0,0.0,,0,0,0,N,0.0,1.81,1.81,N/a,Daily,,0.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=1dfa0a79-5045-48d7-abf7-c539940f42ca&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,,0.31,5,2026-09-10 06:02:02,0000-00-00,4.13,8.85,7.42,36.59,40.12,,7.42,10.24,15.35,0.2,2.38,,,,,,,,,,,,1.81,0,0,1,1,1,0000-00-00 00:00:00,N,168.99,168.99,-0.89,-0.52,2026-09-09,N,N,,
BPP39M3,VND3,CCLA Better World Global Equity (Class C),25.0,1,0,CCLA Investment Management Better World Global Equity (Class C),,Better World Global Equity (Class C),53768,CCLA Investment Management,109,Global,Accumulation,CCLA Better World Global Equity (Class C) (Acc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,,0,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e0ccfbfe-5ed8-4380-9e69-655d3e38dec7&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,,0.03,1,2026-09-10 06:02:24,0000-00-00,2.05,5.74,-0.87,12.84,,,-0.87,2.16,11.42,3.49,,,,,,,,,,,,,0.68,0,0,1,1,1,0000-00-00 00:00:00,N,174.39,174.39,-1.1,-0.63,2026-09-10,N,N,,
BPP3BY9,VID0,CCLA Better World Global Equity (Class C),25.0,1,0,CCLA Investment Management Better World Global Equity (Class C),,Better World Global Equity (Class C),53768,CCLA Investment Management,109,Global,Income,CCLA Better World Global Equity (Class C) (Inc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,N/a,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,,0,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=4970a9c5-ad6c-409a-9862-d93f9576529b&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,,0.03,1,2026-09-10 06:02:23,0000-00-00,2.04,5.73,-0.87,12.82,,,-0.87,2.17,11.4,3.47,,,,,,,,,,,,,0.68,0,0,1,1,1,0000-00-00 00:00:00,N,165.92,165.92,-1.04,-0.62,2026-09-10,N,N,,
BRSDDN3,AH9WV,CCLA Cautious Multi-Asset (Class C),25.0,1,0,CCLA Investment Management Cautious Multi-Asset (Class C),"The Sub-Fund aims to provide a total return (the combination of capital growth and income) after costs, of inflation (as measured by the UK Consumer Prices Index) plus 2% per annum over the long term (defined as any rolling period of 5 years). The Sub-Fund is classified as Cautious as it will not invest more than 50% in value of its Scheme Property in equities. There is no guarantee that the objective of the Sub-Fund will be achieved over any time period. Capital is at risk.",Cautious Multi-Asset (Class C),53768,CCLA Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,CCLA Cautious Multi-Asset (Class C) (Acc),0.0,0.81,0.0,0.81,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,89,0,0,,0.0,0.81,0.81,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=12d1f498-4e11-45ad-b43c-84f02f527855&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,114.9,,0.21,3,2026-09-10 06:01:38,0000-00-00,0.74,1.9,0.61,,,,0.61,-2.05,,,,,,,,,,,,,,,0.81,0,1,1,1,1,2024-02-16 00:00:00,N,148.07999999999998,148.07999999999998,-0.83,-0.56,2026-09-10,N,N,,
BRSDDP5,AH9WX,CCLA Cautious Multi-Asset (Class C),25.0,1,0,CCLA Investment Management Cautious Multi-Asset (Class C),"The Sub-Fund aims to provide a total return (the combination of capital growth and income) after costs, of inflation (as measured by the UK Consumer Prices Index) plus 2% per annum over the long term (defined as any rolling period of 5 years). The Sub-Fund is classified as Cautious as it will not invest more than 50% in value of its Scheme Property in equities. There is no guarantee that the objective of the Sub-Fund will be achieved over any time period. Capital is at risk.",Cautious Multi-Asset (Class C),53768,CCLA Investment Management,131,Mixed Investment 20-60% Shares,Income,CCLA Cautious Multi-Asset (Class C) (Inc),0.0,0.81,0.0,0.81,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,89,0,0,,0.0,0.81,0.81,N/a,Daily,,100.0,0.0,0,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=6371ffb6-4fb7-4200-88c0-643431a960fb&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,114.9,,0.21,3,2026-09-10 06:01:38,0000-00-00,0.74,1.9,0.67,,,,0.67,-2.06,,,,,,,,,,,,,,,0.81,0,1,1,1,1,2024-02-16 00:00:00,N,136.39,136.39,-0.76,-0.55,2026-09-10,N,N,,
BYQ69B3,NYKT,CG Absolute Return,25.0,1,0,CG Asset Management Absolute Return,The investment objective of the fund is to achieve long term capital growth in absolute terms.,Absolute Return,2440,CG Asset Management,48,Unclassified,Income,CG Absolute Return (Inc),0.0,0.47,0.0,0.47,0.0,0.0,0.0,0,,0,Annually,Interest,0,60,0.0,0.0,17:00,,0,0.0,0.0,100.0,GBP,249,0,0,,0.0,0.47,0.47,N/a,Daily,,100.0,0.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=64014616-90e6-4a41-a696-8416a2add21c&user=hl_website_documents,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,1120.1,,0.12,6,2026-09-10 06:02:09,0000-00-00,1.23,3.3,6.85,18.05,13.79,,6.85,3.86,6.38,-4.95,1.42,,,,,,,,,,,,0.47,0,1,1,1,1,2016-05-20 00:00:00,,14390.4,14455.3,-27.6,-0.19,2026-09-10,N,N,1789205209,0P00018073.L
BJFLQY6,K2WZ,CG Aegon Diversified Monthly Income (Class B),25.0,1,0,Aegon Asset Management Diversified Monthly Income (Class B),"The investment objective is to generate income with a target yield of approximately 5% per annum, with the potential for capital growth over the medium term (being any 5 year period). By investing in the Fund, capital is at risk. There is no guarantee that the Fund will generate this, or any other level of income or returns",Diversified Monthly Income (Class B),545,Aegon Asset Management,131,Mixed Investment 20-60% Shares,Accumulation,CG Aegon Diversified Monthly Income (Class B) (Acc),0.0,0.58,0.0,0.58,0.0,0.0,0.0,0,,0,Monthly,Dividend,0,6,0.0,0.0,12:00,,0,0.0,0.0,1.0,GBP,122,0,0,,0.0,0.58,0.58,N/a,Daily,,100.0,5.03,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=d0011fa6-0b17-479c-8d6f-48fe391e49b3&user=hl_website_documents,0.0,5.03,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,883.9,,0.03,1,2026-09-10 06:02:01,0000-00-00,2.46,7.13,15.46,42.39,36.79,,15.46,8.08,14.1,2.65,-6.42,,,,,,,,,,,,0.58,0,1,1,1,1,2014-02-25 00:00:00,,219.568,219.568,-0.84,-0.38,2026-09-10,N,N,1789205211,0P00012DK6.L
BJFLR10,K2XC,CG Aegon Diversified Monthly Income (Class B),25.0,1,0,Aegon Asset Management Diversified Monthly Income (Class B),"The investment objective is to generate income with a target yield of approximately 5% per annum, with the potential for capital growth over the medium term (being any 5 year period). By investing in the Fund, capital is at risk. There is no guarantee that the Fund will generate this, or any other level of income or returns",Diversified Monthly Income (Class B),545,Aegon Asset Management,131,Mixed Investment 20-60% Shares,Income,CG Aegon Diversified Monthly Income (Class B) (Inc),0.0,0.58,0.0,0.58,0.0,0.0,0.0,0,,0,Monthly,Dividend,0,6,0.0,0.0,12:00,,0,0.0,0.0,1.0,GBP,122,0,0,,0.0,0.58,0.58,N/a,Daily,,100.0,5.03,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ba31989b-58e4-49f2-8168-d4286e277d25&user=hl_website_documents,0.0,5.03,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,883.9,,0.03,1,2026-09-10 06:02:01,0000-00-00,2.46,7.13,15.49,42.39,36.79,,15.49,8.06,14.1,2.65,-6.42,,,,,,,,,,,,0.58,0,1,1,1,1,2014-02-25 00:00:00,,113.113,113.113,-0.43,-0.38,2026-09-10,N,N,1789205213,0P00012DK7.L
